,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
foul_prob[1093],0.504,0.014,0.476,0.53,0.0,0.0,10708.0,7979.0,1.0
foul_prob[1094],0.427,0.014,0.399,0.454,0.0,0.0,10867.0,9207.0,1.0
foul_prob[1095],0.409,0.018,0.374,0.444,0.0,0.0,10811.0,9214.0,1.0
foul_prob[1096],0.435,0.014,0.41,0.463,0.0,0.0,10829.0,8788.0,1.0
foul_prob[1097],0.54,0.013,0.514,0.564,0.0,0.0,9854.0,9044.0,1.0
foul_prob[1098],0.428,0.015,0.399,0.456,0.0,0.0,11418.0,9422.0,1.0
foul_prob[1099],0.426,0.027,0.372,0.478,0.0,0.0,11622.0,8555.0,1.0
foul_prob[1100],0.342,0.018,0.306,0.378,0.0,0.0,11196.0,8981.0,1.0
foul_prob[1101],0.551,0.021,0.509,0.592,0.0,0.0,10319.0,8588.0,1.0
foul_prob[1102],0.437,0.018,0.402,0.472,0.0,0.0,11377.0,9495.0,1.0
foul_prob[1103],0.396,0.018,0.36,0.429,0.0,0.0,11370.0,8294.0,1.0
foul_prob[1104],0.498,0.023,0.454,0.545,0.0,0.0,10715.0,8583.0,1.0
foul_prob[1105],0.381,0.012,0.356,0.405,0.0,0.0,10767.0,7650.0,1.0
foul_prob[1106],0.598,0.024,0.552,0.645,0.0,0.0,10530.0,7393.0,1.0
foul_prob[1107],0.391,0.021,0.35,0.432,0.0,0.0,10750.0,7378.0,1.0
foul_prob[1108],0.35,0.023,0.306,0.394,0.0,0.0,10596.0,8007.0,1.0
foul_prob[1109],0.53,0.02,0.492,0.569,0.0,0.0,11268.0,8035.0,1.0
foul_prob[1110],0.392,0.015,0.363,0.421,0.0,0.0,11783.0,8688.0,1.0
foul_prob[1111],0.402,0.016,0.372,0.434,0.0,0.0,10608.0,9029.0,1.0
foul_prob[1112],0.467,0.022,0.426,0.512,0.0,0.0,11330.0,9051.0,1.0
foul_prob[1113],0.392,0.012,0.37,0.415,0.0,0.0,11571.0,8926.0,1.0
foul_prob[1114],0.526,0.009,0.508,0.544,0.0,0.0,10391.0,9325.0,1.0
foul_prob[1115],0.513,0.013,0.488,0.537,0.0,0.0,9692.0,7859.0,1.0
foul_prob[1116],0.399,0.013,0.374,0.423,0.0,0.0,10743.0,8891.0,1.0
foul_prob[1117],0.41,0.013,0.385,0.434,0.0,0.0,9988.0,8860.0,1.0
