,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
foul_prob[2538],0.506,0.02,0.47,0.548,0.0,0.0,8013.0,4877.0,1.0
foul_prob[2539],0.493,0.016,0.465,0.525,0.0,0.0,7938.0,5204.0,1.0
foul_prob[2540],0.481,0.018,0.446,0.516,0.0,0.0,7137.0,5658.0,1.0
foul_prob[2541],0.458,0.008,0.442,0.475,0.0,0.0,8664.0,5335.0,1.0
foul_prob[2542],0.537,0.02,0.498,0.576,0.0,0.0,7871.0,5078.0,1.0
foul_prob[2543],0.376,0.017,0.344,0.409,0.0,0.0,7994.0,5122.0,1.0
foul_prob[2544],0.429,0.023,0.382,0.472,0.0,0.0,8603.0,4896.0,1.0
foul_prob[2545],0.536,0.012,0.513,0.558,0.0,0.0,7590.0,5026.0,1.0
foul_prob[2546],0.377,0.016,0.346,0.409,0.0,0.0,8716.0,5512.0,1.0
foul_prob[2547],0.454,0.011,0.432,0.475,0.0,0.0,7255.0,5406.0,1.0
foul_prob[2548],0.45,0.012,0.427,0.472,0.0,0.0,9555.0,5376.0,1.0
foul_prob[2549],0.45,0.01,0.431,0.47,0.0,0.0,8383.0,5438.0,1.0
foul_prob[2550],0.531,0.015,0.502,0.558,0.0,0.0,7508.0,5604.0,1.0
foul_prob[2551],0.389,0.015,0.362,0.419,0.0,0.0,8175.0,5313.0,1.0
foul_prob[2552],0.373,0.019,0.335,0.408,0.0,0.0,8168.0,5790.0,1.0
foul_prob[2553],0.442,0.017,0.41,0.478,0.0,0.0,8940.0,5733.0,1.0
foul_prob[2554],0.518,0.013,0.494,0.544,0.0,0.0,8291.0,5586.0,1.0
foul_prob[2555],0.392,0.015,0.363,0.421,0.0,0.0,7507.0,5060.0,1.0
foul_prob[2556],0.385,0.016,0.354,0.416,0.0,0.0,7991.0,5117.0,1.0
foul_prob[2557],0.502,0.015,0.471,0.53,0.0,0.0,8137.0,5290.0,1.0
foul_prob[2558],0.411,0.011,0.389,0.432,0.0,0.0,7139.0,5313.0,1.0
foul_prob[2559],0.477,0.02,0.437,0.516,0.0,0.0,8090.0,5372.0,1.0
foul_prob[2560],0.372,0.019,0.333,0.408,0.0,0.0,7931.0,5308.0,1.0
foul_prob[2561],0.496,0.01,0.475,0.515,0.0,0.0,8519.0,5481.0,1.0
foul_prob[2562],0.4,0.023,0.355,0.444,0.0,0.0,9535.0,5027.0,1.0
foul_prob[2563],0.412,0.017,0.378,0.447,0.0,0.0,8424.0,5331.0,1.0
foul_prob[2564],0.472,0.017,0.44,0.504,0.0,0.0,9011.0,5005.0,1.0
foul_prob[2565],0.486,0.014,0.457,0.514,0.0,0.0,8345.0,5258.0,1.0
foul_prob[2566],0.421,0.01,0.402,0.439,0.0,0.0,6338.0,5058.0,1.0
foul_prob[2567],0.548,0.019,0.509,0.583,0.0,0.0,8009.0,5514.0,1.0
foul_prob[2568],0.403,0.014,0.376,0.43,0.0,0.0,7676.0,5330.0,1.0
foul_prob[2569],0.464,0.017,0.434,0.498,0.0,0.0,7904.0,5586.0,1.0
foul_prob[2570],0.463,0.02,0.424,0.503,0.0,0.0,7877.0,5091.0,1.0
foul_prob[2571],0.433,0.009,0.414,0.451,0.0,0.0,7919.0,5214.0,1.0
foul_prob[2572],0.505,0.008,0.489,0.521,0.0,0.0,7569.0,5030.0,1.0
foul_prob[2573],0.527,0.011,0.506,0.548,0.0,0.0,8442.0,5742.0,1.0
foul_prob[2574],0.442,0.016,0.411,0.474,0.0,0.0,8645.0,4978.0,1.0
foul_prob[2575],0.372,0.02,0.331,0.409,0.0,0.0,8068.0,5476.0,1.0
foul_prob[2576],0.364,0.02,0.325,0.403,0.0,0.0,7489.0,5288.0,1.0
foul_prob[2577],0.421,0.013,0.393,0.445,0.0,0.0,8109.0,5454.0,1.0
foul_prob[2578],0.367,0.014,0.341,0.394,0.0,0.0,6873.0,5361.0,1.0
foul_prob[2579],0.419,0.02,0.379,0.458,0.0,0.0,7880.0,4821.0,1.0
foul_prob[2580],0.344,0.02,0.304,0.382,0.0,0.0,7629.0,5058.0,1.0
foul_prob[2581],0.439,0.016,0.407,0.468,0.0,0.0,8272.0,5367.0,1.0
foul_prob[2582],0.548,0.012,0.525,0.571,0.0,0.0,9415.0,5651.0,1.0
foul_prob[2583],0.352,0.016,0.32,0.381,0.0,0.0,6977.0,5513.0,1.0
foul_prob[2584],0.489,0.017,0.455,0.522,0.0,0.0,8036.0,5054.0,1.0
foul_prob[2585],0.503,0.025,0.453,0.551,0.0,0.0,8075.0,5638.0,1.0
foul_prob[2586],0.364,0.015,0.335,0.392,0.0,0.0,7374.0,5808.0,1.0
foul_prob[2587],0.455,0.02,0.417,0.496,0.0,0.0,8350.0,5360.0,1.0
foul_prob[2588],0.396,0.024,0.349,0.44,0.0,0.0,9071.0,5126.0,1.0
